Id,Name,Notes
127,Motor,"ONLY use as a domain header for organizing Motor conditions including motor neuron wasting, developmental delay in acquiring motor skills, and movement-based tics affecting discrete muscle groups - NOT for coding individual patient symptoms or diagnoses. — NOT for coding individual patient symptoms or diagnoses or for specific clinical documentation of individual motor-related manifestations."
128,Apraxia (including of speech),"ONLY use when caregiver or clinician explicitly states 'apraxia' or 'apraxia of speech' diagnosis: 'has apraxia', 'motor planning problems', 'apraxia of speech', speech therapy for apraxia - NOT for general speech delays, articulation problems, or motor difficulties without specific apraxia diagnosis."
129,Fatigue,"ONLY use when caregiver describes persistent, abnormal tiredness affecting daily activities for six months or longer: 'always exhausted', 'no energy for normal activities', 'sleeps all the time but still tired', fatigue interfering with function, lack of motivation — NOT for normal tiredness, age-appropriate rest needs, or temporary fatigue during illness"
130,"Fine motor skills, Abnormal","ONLY use when caregiver describes significant difficulties with hand/finger skills: 'can't hold pencil properly', 'can't button clothes', 'drops things constantly', 'can't use utensils', occupational therapy for fine motor, or other issues affecting wrists, hands, fingers, feet, and toes that represent a specific motor delay in finger and hand control abilities development — NOT for age-appropriate fine motor development, mild clumsiness, normal learning curves, or developmental challenges that fall within expected ranges"
131,"Gross motor skills, Abnormal","ONLY use when caregiver describes significant difficulties with large motor skills such as: 'can't walk up stairs', 'falls constantly', 'can't run like other kids', 'very unsteady walking', has difficulty with control of large muscles needed for sitting and crawling, requires physical therapy for gross motor issues involving movement of large muscles in arms, legs, and other large body parts — NOT for age-appropriate motor development, minor coordination issues, or normal variation in motor skills"
132,Motor delay,"ONLY use when caregiver describes significant delays in motor milestones: 'didn't walk until 2 years', 'couldn't sit up until 10 months', 'never crawled', documented motor milestone delays requiring intervention - NOT for minor variations, being cautious, or milestones within normal range variations."
133,Movement Disorder,"ONLY use when caregiver or clinician explicitly describes abnormal movement patterns: 'involuntary movements', 'chorea', 'dystonia', 'movement disorder', neurology referral for movement problems, or documented changes in coordination and speed of voluntary movements that indicate a neurological movement abnormality — NOT for normal fidgeting, restlessness, or voluntary movements that appear unusual but don't have documented neurological significance"
134,Ataxia,"Cerebellar ataxia refers to ataxia due to dysfunction of the cerebellum. This causes a variety of elementary neurological deficits including asynergy (lack of coordination between muscles, limbs and joints), dysmetria (lack of ability to judge distances that can lead to under'-' or overshoot in grasping movements), and dysdiadochokinesia (inability to perform rapid movements requiring antagonizing muscle groups to be switched on and off repeatedly).  HP:0001251 HP:0001251"
135,Choreoathetosis (includes chorea and athetosis),"ONLY use when caregiver or clinician explicitly describes specific involuntary movement patterns: 'writhing movements', 'chorea', 'athetosis', 'choreoathetosis', neurological diagnosis of movement disorder - NOT for general restlessness, fidgeting, or voluntary movements that appear unusual."
136,Dyskinesia,"ONLY use when caregiver or clinician explicitly describes involuntary, uncontrolled movements: 'dyskinesia', 'involuntary movements', 'movements she can't control', medication-induced movement problems, or diminished voluntary movements; these may manifest as dystonic, choreic, or ballistic movements, or a combination thereof, occurring in bouts without loss of consciousness — NOT for voluntary movements, fidgeting, restlessness, normal movement variations, or involuntary movements associated with loss of consciousness"
137,"Dyspraxia, Motor (impaired coordination of movement)","ONLY use when caregiver or clinician explicitly states 'dyspraxia' or describes severe motor planning difficulties: 'has dyspraxia', 'can't plan movements', 'motor planning problems', therapy for dyspraxia - NOT for general clumsiness, learning new skills, or coordination difficulties without dyspraxia diagnosis."
138,Gait Abnormality,"ONLY use when caregiver describes distinctly abnormal walking patterns: 'walks on toes constantly', 'walks on knees', 'very wide-based walking', 'limps', 'abnormal gait', physical therapy for gait, disruption of ability to walk, or episodes of freezing/marked reduction in forward progression of feet despite intention to walk — NOT for temporary walking variations, learning to walk, or minor gait preferences without functional impact"
139,"Balance, unsteady ","ONLY use when caregiver describes significant balance problems affecting daily activities: 'falls constantly', 'can't stand without support', 'very unsteady on feet', 'balance is terrible', physical therapy for balance, or clinical evaluation showing abnormal retropulsion test results (taking three or more steps backward, true retropulsion where patient continues stepping backward without regaining balance, or falls backward without taking corrective steps). — NOT for occasional falls, learning to walk, age-appropriate balance development, or when retropulsion test shows normal response (correction with one or two large steps or hip hinging with forward arm swing)."
140,Non Ambulatory,"ONLY use when caregiver explicitly states patient cannot walk independently: 'doesn't walk', 'non-ambulatory', 'wheelchair bound', 'can't walk at all', uses wheelchair as primary mobility - NOT for children learning to walk, temporary mobility issues, or walking with assistance occasionally."
141,Tremor/Tremulous Movements of Limbs,"ONLY use when caregiver describes obvious tremor or shaking movements: 'hands shake', 'tremor in arms', 'shaky movements', 'tremulous', neurological evaluation for tremor - NOT for normal movement variations, excitement-related shaking, or temporary trembling."
142,"Oral Motor Impairment (Includes tongue thrusting, tongue abnormalities, macroglossia, sucking and swallowing disorders, frequent drooling, excessive chewing, mouthing behaviors, and feeding difficulties, teeth grinding)","ONLY use when caregiver describes significant oral motor problems: 'can't swallow properly', 'tongue is too big', 'drools constantly', 'can't chew food', 'chews everything', speech/feeding therapy for oral motor - NOT for normal drooling in toddlers, occasional choking, or mild feeding preferences."
143,"Paralysis (includes hemiplegia, limb, arm, leg paralysis, no voluntary movement)","ONLY use when caregiver or clinician explicitly states complete loss of movement: 'paralyzed', 'no movement in arm', 'hemiplegia', 'can't move leg at all', 'completely paralyzed' - NOT for weakness, reduced movement, temporary immobility, or partial movement limitations."
144,Progressive loss of skills (regression) (includes fine and/or gross motor skills),"ONLY use when caregiver explicitly describes patient lost previously acquired motor abilities: 'used to walk but stopped', 'could use hands but can't anymore', 'lost motor skills over time', clear regression in motor function - NOT for plateauing development, temporary setbacks, or slower-than-expected progress."
145,Musculoskeletal,"ONLY use as a domain header for organizing Musculoskeletal conditions (system consisting of bones, muscles, cartilage, tendons, ligaments, joints, and connective tissue that supports body weight, maintains body position, and produces body movements) — NOT for coding individual patient symptoms or diagnoses related to the musculoskeletal system"
146,"Craniofacial abnormalities (Includes: skull abnormalities, torticollis, nose abnormalities, midline retraction, abnormal eyebrows, puffy cheeks, long chin, cleft palate, high arched palate, prominent mandible, jaw abn...",
147,"Dental Abnormalities (Includes abnormal dentition, large front teeth, missing adult teeth)","ONLY use when caregiver or clinician explicitly documents tooth abnormalities: 'missing teeth', 'extra large front teeth', 'abnormal tooth formation', 'dental defects', orthodontic treatment for abnormalities - NOT for normal tooth development, delayed eruption within normal range, or cosmetic concerns without structural abnormalities."
148,"Hands and Feet Abnormalities (includes hypoplastic distal phlanges in the hand and feet, broad hallux phalanx and thumb, proximal placement of thumb, arachnotidactyly fingers, curled fingers, Navicular bone drop,  Cal...",
149,Hernias,"ONLY use when caregiver or clinician explicitly states hernia diagnosis: 'inguinal hernia', 'umbilical hernia' (which involves protrusion of abdominal contents through a defect in the abdominal wall musculature around the umbilicus, with skin and subcutaneous tissue overlying the defect), 'hernia', or when surgical repair of hernia is scheduled/completed — NOT for normal umbilical prominence in infants, abdominal muscle separation, or vague bulging without hernia diagnosis"
150,"Joint Abnormalities (Includes laxity, hypermobility, pain, radial head dislocation, congenital hip dislocation)","ONLY use when caregiver or clinician explicitly documents joint problems: 'hip dislocation', 'joints are too loose', 'hypermobile joints', 'joint pain', orthopedic treatment for joint issues - NOT for normal flexibility, occasional joint pain, or minor joint variations without documented abnormalities."
151,"Poor head control, includes lag","ONLY use when caregiver describes significant head control problems beyond expected age: 'can't hold head up at 6 months', 'head flops back', 'poor head control', 'head lag', physical therapy for head control, or when head lag persists beyond 3 to 4 months of age when it should normally be absent. Head lag is observed when the head seems to flop around or lags posteriorly behind the trunk. — NOT for normal newborn head lag, age-appropriate head control development, or mild delays within normal range."
152,"Rib and Chest Abnormalities (Includes sternum malformation, wide ribs)","ONLY use when caregiver or clinician explicitly documents chest/rib structural abnormalities: 'chest malformation', 'rib defects', 'sternum abnormality', 'pectus', surgical repair recommended - NOT for normal chest variations, mild asymmetry, or respiratory issues without structural chest abnormalities."
153,Skeletal Abnormalities ,"REVIEW FEEDBACK: Reviewer feedback: I'm not sure if these are considered ""abnormalities"""
154,"Fractures, unexplained, fragility","ONLY use when caregiver describes multiple unexplained fractures or fragility fractures: 'bones break easily', 'fractured from minor fall', 'multiple unexplained fractures', 'fragile bones', evaluation for bone disease, or when there is evidence of abnormal reduction in bone strength which is the underlying cause of increased fracture tendency — NOT for single traumatic fractures, normal childhood injuries, or fractures with clear cause"
155,Hip/Pelvis Abnormalities (Includes bilateral hip dysplasia),"ONLY use when caregiver or clinician explicitly documents hip/pelvis structural problems: 'hip dysplasia', 'hip dislocation', 'pelvic abnormality', orthopedic treatment for hip issues, harness/surgery for hips - NOT for normal hip development, temporary hip positioning, or minor hip variations without documented dysplasia."
156,"Long Bone Abnormalities (Includes twisted, shortened tibia and/or fibula)","ONLY use when caregiver or clinician explicitly documents long bone structural defects: 'shortened leg bones', 'twisted tibia', 'bone malformation', 'leg length discrepancy', orthopedic surgery for bone defects - NOT for normal bone growth variations, temporary growth differences, or functional issues without structural bone abnormalities."
157,"Skeletal Maturation Abnormalities (Includes bone age advanced, bone age delayed, osteoporosis, osteopenia, soft bones)","ONLY use when caregiver or clinician explicitly documents bone maturation problems: 'bone age delayed', 'osteoporosis', 'soft bones', 'bone density problems', endocrinology referral for bone issues - NOT for normal growth variations, size differences, or general bone health concerns without documented maturation abnormalities."
158,"Spine Abnormalities (Includes scoliosis, spina bifida, kyphosis, spinal stenosis, saccral dimple)","ONLY use when caregiver or clinician explicitly documents spine structural abnormalities: 'scoliosis', 'spina bifida', 'curved spine', 'sacral dimple', 'spine malformation', orthopedic/neurosurgical treatment for spine - NOT for poor posture, back pain, or minor spinal variations without documented structural abnormalities."
159,"Spasms and Contractures (Includes contractions, involuntary movement, muscle cramps)","ONLY use when caregiver explicitly describes involuntary muscle spasms or fixed contractures: 'muscles spasm uncontrollably', 'muscle cramps frequently', 'joints are contracted and won't straighten', physical therapy for contractures - NOT for normal muscle tightness, temporary cramps, or voluntary muscle tension."
160,Ankle pronation (some inward rolling of ankle and foot),"ONLY use when caregiver or clinician explicitly documents excessive ankle/foot pronation: 'feet roll inward severely', 'ankles collapse inward', 'overpronation', orthotic treatment for pronation - NOT for normal foot positioning, mild inward rolling, or occasional foot posture variations."
161,"Stiffness (Includes muscle stiffness, joint stiffness)","ONLY use when caregiver describes persistent muscle or joint stiffness affecting function: 'muscles are always stiff', 'joints won't bend properly', 'body is rigid', physical therapy for stiffness - NOT for normal muscle tension, temporary stiffness after activity, or age-appropriate muscle tone."
162,Neurological,ONLY use as a domain header for organizing Neurological conditions - NOT for coding individual patient symptoms or diagnoses.
163,"Cataplexy (Includes with narcolepsy, catatonia)","HP:0002524
Cataplexy is a frequent feature of narcolepsy, a neurologic disorder characterized by excessive daytime sleepiness and manifestations of disrupted rapid eye movement sleep stage.
A sudden and transient episode of bilateral loss of muscle tone, often triggered by emotions."
164,Neuropathy (includes peripheral),"ONLY use when caregiver or clinician explicitly states 'neuropathy' or describes nerve damage symptoms: 'tingling in hands/feet', 'numbness', 'burning sensation', 'peripheral neuropathy', neurological testing showing nerve damage - NOT for occasional tingling, normal sensory variations, or temporary numbness without neuropathy diagnosis."
165,Cerebral Palsy,"Cerebral palsy describes a group of permanent disorders of the development of movement and posture, causing activity limitation, that are attributed to nonprogressive disturbances that occurred in the developing fetal or infant brain. The motor disorders of cerebral palsy are often accompanied by disturbances of sensation, perception, cognition, communication, and behaviour, by epilepsy, and by secondary musculoskeletal problems. HP:0100021, SNOMEDCT_US:128188000"
166,"Pain sensation, abnormal","ONLY use when caregiver describes significantly altered pain response: 'doesn't feel pain when injured', 'overreacts to minor pain', 'pain sensitivity is abnormal', 'can't tell when hurt', reduced ability to perceive painful stimuli, or pain abnormalities that may result from abnormalities in the specific nerve fibers that carry pain impulses to the brain — NOT for normal pain responses, age-appropriate pain reactions, or temporary pain sensitivity changes"
167,"Cry, Distinctive","ONLY use when caregiver describes a characteristic, unusual cry pattern that stands out: 'cry sounds different from other babies', 'has a very distinctive cry', 'cry is high-pitched and unusual', 'strange sounding cry', 'cry sounds similar to the meowing of a kitten', or cry is characterized by unusually shortened and detached vocalizations — NOT for normal crying variations, loud crying, or frequent crying without distinctive quality"
168,EEG Abnormal,"ONLY use when caregiver or clinician explicitly states EEG test results were abnormal: 'EEG showed abnormalities', 'brain waves were abnormal', 'abnormal electroencephalogram', 'interictal EEG abnormalities', 'periodically recurring abnormalities in the EEG', or neurology follow-up for abnormal EEG. Note that EEG records the brain's spontaneous electrical activity from multiple electrodes placed on the scalp, and abnormalities may refer to unusual brain wave patterns detected between seizures. — NOT for suspected seizures, behavioral concerns, EEG ordered without confirmed abnormal results, or cases where multiple EEG recordings were still needed to detect abnormalities but no abnormalities were yet confirmed."
169,"Head Circumference, abnormal",Only use when abnormal head circumference is explicitly stated (microcephaly or macrocephaly). Rapid head growth that was a concern but not confirmed abnormal does NOT qualify — use [170] Macrocephaly if confirmed large.
170,"Macrocephaly, large head circumference","ONLY use when caregiver or clinician explicitly documents large head circumference above normal percentiles: 'macrocephaly', 'head circumference above 97th percentile', 'large head', 'big head', neurology evaluation for large head, or occipitofrontal circumference greater than 97th centile compared to appropriate age-matched and sex-matched normal standards. This can be present with onset at birth. — NOT for family history of large heads, subjective observations, or normal large head variations without documented measurements."
171,"Microcephaly, small head circumference, includes primary and secondary","ONLY use when caregiver or clinician explicitly documents small head circumference below normal percentiles, such as 'microcephaly', 'head circumference below 3rd percentile', 'head circumference below 2 standard deviations below the mean for age and gender', 'small head', 'tiny head', or genetics/neurology referral for small head. Includes microcephaly resulting from insufficient head growth after birth. — NOT for family history of small heads, subjective observations, or normal small head variations without documented measurements."
172,Hydrocephalus,"ONLY use when caregiver or clinician explicitly states 'hydrocephalus' diagnosis: 'fluid on the brain', 'hydrocephalus', 'enlarged ventricles', shunt placement, neurosurgery consultation for hydrocephalus - includes cases of active distension of the ventricular system due to inadequate CSF passage, normal pressure hydrocephalus (characterized by enlarged cerebral ventricles with normal CSF pressure upon lumbar puncture), and obstructive hydrocephalus (characterized by obstruction of CSF flow within the cerebral ventricular system or in the outlets to the arachnoid space) — NOT for large head alone, suspected fluid, or brain imaging ordered without confirmed hydrocephalus diagnosis - do not include cases where there is no explicit hydrocephalus diagnosis or cases where the ventricular enlargement has not been formally diagnosed as hydrocephalus by a medical professional"
173,"Migraine, headache, frequent",HP:0002315
174,"Hemiplegic, migraine","ONLY use when caregiver or clinician explicitly states 'hemiplegic migraine' diagnosis: 'hemiplegic migraines', 'migraines with paralysis', 'weakness during migraines', neurology treatment for hemiplegic migraines - NOT for regular migraines, headaches with nausea, or weakness unrelated to migraine episodes."
175,MRI Abnormal,"ONLY use when caregiver or clinician explicitly states MRI results were abnormal such as: 'MRI showed abnormalities', 'brain MRI was abnormal', 'abnormal MRI findings', neurology follow-up for abnormal MRI, signal abnormalities on MRI of the brainstem region of the brain, or deviation from normal signal on magnetic resonance imaging (MRI) of the thalamus region of the brain — NOT for MRI ordered, brain imaging planned, or normal MRI results without confirmed abnormalities"
176,Agenesis of the Corpus Callosum,"ONLY use when caregiver or clinician explicitly states 'agenesis of corpus callosum', 'ACC' diagnosis, 'corpus callosum didn't develop', 'missing connection between brain halves', 'ACC', neurology/genetics referral for corpus callosum agenesis, partial agenesis of corpus callosum, or underdevelopment of the corpus callosum resulting from failure in cellular proliferation and migration, axonal growth, or glial patterning at the midline — NOT for other brain abnormalities, developmental delays, or brain imaging without specific ACC diagnosis"
177,Chiari Malformation,"ONLY use when caregiver or clinician explicitly states 'Chiari malformation' diagnosis: 'Chiari I/II malformation', 'brain extends into spinal canal', 'Chiari', neurosurgery consultation for Chiari; includes documented downward displacement of cerebellar tonsils and/or medulla through the foramen magnum, cerebellar tonsils projecting 5 mm below the foramen magnum (McRae Line), herniation of hindbrain (cerebellum with or without brainstem) into a low occipital or high cervical meningoencephalocele, or hydrocephalus resulting from CSF obstruction specifically attributed to Chiari malformation — NOT for other brain abnormalities, headaches, or neck problems without specific Chiari diagnosis; not for cases where cerebellar tonsils are rounded or project less than 5 mm below the foramen magnum; not for hindbrain herniation due to other causes not explicitly identified as Chiari malformation"
178,Corpus Callosum Defects,"ONLY use when caregiver or clinician explicitly states corpus callosum abnormalities other than complete agenesis, including: 'partial corpus callosum', 'thin corpus callosum', 'corpus callosum dysgenesis', 'callosal abnormality', increased vertical dimension of the corpus callosum (visualized by sagittal sections on MRI), or specific morphological abnormalities such as hump-shaped, kinked, or striped corpus callosum that lacks an anatomically distinct genu and splenium — NOT for complete agenesis of corpus callosum (use code 176), other brain abnormalities, developmental delays without specific callosal defects, or non-specific neurological findings without explicit mention of corpus callosum abnormalities"
179,Cortical defects,"ONLY use when caregiver or clinician explicitly states cortical malformations or defects: 'cortical dysplasia', 'brain cortex malformation', 'cortical abnormalities', 'polymicrogyria', 'lissencephaly' - NOT for other brain abnormalities, developmental delays, or brain imaging without specific cortical malformation diagnosis."
180,Delayed myelination,"ONLY use when caregiver or clinician explicitly states MRI shows delayed myelination: 'delayed myelination on MRI', 'white matter not developing normally', 'myelin delay', neurology follow-up for myelination delay - NOT for general developmental delays, other brain abnormalities, or white matter changes without specific myelination delay diagnosis."
181,Progressive brain atrophy/ neurodegeneration,"ONLY use when caregiver or clinician explicitly states progressive brain volume loss or neurodegeneration: 'brain is shrinking', 'progressive brain atrophy', 'neurodegeneration', 'brain tissue loss over time', serial MRIs showing worsening - NOT for static brain abnormalities, developmental delays, or single brain imaging without progressive changes."
182,Ventricle Anomalies (Other),"ONLY use when caregiver or clinician explicitly states ventricular abnormalities not covered by hydrocephalus: 'enlarged ventricles', 'abnormal ventricle shape', 'ventricular abnormalities', 'something wrong with ventricles' - NOT for hydrocephalus (use code 172), normal ventricular variations, or other brain abnormalities without specific ventricular involvement."
183,Proprioception abnormal,"ONLY use when caregiver describes poor body position awareness affecting function: 'doesn't know where body is in space', 'bumps into things constantly', 'can't tell arm position without looking', 'poor body awareness', occupational therapy for proprioception, loss or impairment of the sensation of joint position, particularly affecting distal joints, or impairment in the sensation of the relative position of body parts — NOT for occasional clumsiness, normal exploration, or mild coordination issues without body awareness problems"
184,"Reflexes, abnormal (hyporeflexia, hyperreflexia)","ONLY use when caregiver or clinician explicitly documents abnormal reflexes: 'reflexes too strong', 'no reflexes', 'hyperreflexia', 'hyporeflexia', neurological exam showing reflex abnormalities - NOT for normal reflex variations, startle responses, or reflexes not formally tested."
185,"Seizures (focal, tonic'-'clonic, myoclonic, resistant or progressive seizure type)","ONLY use when caregiver or clinician explicitly describes seizure episodes: 'had a seizure', 'convulsions', 'tonic-clonic seizure', 'focal seizures', 'myoclonic jerks', anti-seizure medication prescribed - NOT for staring spells without confirmed seizures, brief episodes, or suspected seizures without clinical confirmation."
186,Absence Seizures,"ONLY use when caregiver or clinician explicitly describes or diagnoses absence seizures: 'absence seizures', 'staring spells with EEG confirmation', 'petit mal seizures', 'spaces out and unresponsive', absence seizure medication; may typically start before age 4; may present with eyelid myoclonia (forced upward jerking of eyelids during seizure); classified as generalized non-motor/dialeptic seizures of electrographically generalized onset where motor phenomena are minor compared to non-motor features — NOT for attention problems, daydreaming, or staring without EEG-confirmed absence seizures"
187,Febrile Seizures,"ONLY use when caregiver explicitly describes seizures occurring with fever: 'seizure when fever was high', 'febrile seizure', 'convulsions during fever', 'seizure with temperature'. Febrile seizures typically occur with fever of at least 38 degrees Celsius, in the absence of central nervous system infection, severe metabolic disturbance or other alternative precipitant, and typically affect children between the ages of 3 months and 6 years. These may be simple (generalized, short duration <15 minutes, not recurring within 24 hours) or complex (focal semiology, prolonged >15 minutes, or multiple seizures within 24 hours). — NOT for fever alone, behavioral changes with fever, seizures unrelated to fever episodes, or seizures caused by acute nervous system disease, intracranial infection, or severe metabolic disturbance."
188,Focal (Partial) Seizures,"ONLY use when caregiver or clinician explicitly describes or diagnoses focal seizures: 'focal seizures', 'partial seizures', 'seizures start in one part of brain', 'focal epilepsy', seizures affecting specific body parts - NOT for generalized seizures, staring spells, or other seizure types without focal characteristics."
189,Aware (Simple),"ONLY use when caregiver or clinician explicitly describes focal seizures where patient remains aware: 'simple focal seizures', 'aware during seizures', 'conscious during episodes', 'doesn't lose awareness' - NOT for other seizure types, episodes with impaired awareness, or non-seizure events."
190,Unaware (Complex),"ONLY use when caregiver or clinician explicitly describes focal seizures with impaired awareness: 'complex focal seizures', 'loses awareness during seizures', 'unresponsive during episodes', 'doesn't remember seizures' - NOT for absence seizures, episodes with maintained awareness, or non-seizure events."
191,Infantile Spasms (Includes West Syndrome),"ONLY use when caregiver or clinician explicitly describes or diagnoses infantile spasms: 'infantile spasms', 'West syndrome', 'baby has spasms', 'jerking movements in clusters', ACTH treatment for spasms - NOT for normal startle reflexes, other seizure types, or muscle spasms without infantile spasm diagnosis."
192,"Intractable Seizures, Refractory","When seizures can't be completely controlled by medicines. (Intractable means ""not easily managed or relieved"
193,"Nocturnal Epilepsy (seizures in sleep, night)","ONLY use when caregiver explicitly describes seizures occurring during sleep: 'seizures only at night', 'seizures during sleep', 'nocturnal epilepsy', 'convulsions while sleeping' - NOT for nighttime behaviors, sleep disturbances, or daytime seizures without specific nocturnal pattern."
194,"Postictal Abnormality (Includes regression, extended fatigue)","ONLY use when caregiver describes persistent problems after seizures: 'very tired for days after seizures', 'loses skills after seizures', 'takes long time to recover from seizures', 'postictal confusion lasting hours' - NOT for normal post-seizure tiredness, brief recovery periods, or fatigue unrelated to seizures."
195,Rolandic Seizures (during transition between sleeping and waking),"ONLY use when caregiver or clinician explicitly describes seizures occurring during sleep-wake transitions: 'seizures when falling asleep', 'seizures when waking up', 'rolandic epilepsy', 'benign rolandic seizures' - NOT for other seizure types, sleep disturbances, or seizures at other times without specific sleep-wake transition pattern."
196,Status Epilepticus,"Status epilepticus is a type of prolonged seizure resulting either from the failure of the mechanisms responsible for seizure termination or from the initiation of mechanisms which lead to abnormally prolonged seizures (after time point t1). It is a condition that can have long'-'term consequences (after time point t2), including neuronal death, neuronal injury, and alteration of neuronal networks, depending on the type and duration of seizures.
HP:0002133
"
197,Tethered Cord,"ONLY use when caregiver or clinician explicitly states 'tethered cord' diagnosis: 'tethered spinal cord', 'cord is attached', 'spinal cord tethering', neurosurgery for tethered cord, or describes a thickened rope-like filum terminale which anchors the cord at the level of L2 or below due to failure of the spinal cord to assume its normal position at L1 during embryological development — NOT for other spinal abnormalities, back problems, neurological issues without specific tethered cord diagnosis, or general neurologic signs without clear indication of abnormal tension on the spinal cord"
198,"Tone, Abnormal",includes central and peripheral etiology
199,Hypertonia ,"ONLY use when caregiver or clinician explicitly describes increased muscle tone: 'muscles are too tight', 'spasticity', 'hypertonia', 'stiff muscles', 'increased tone', 'stiff arms and legs that are difficult to move', physical therapy for spasticity, or when specifically referring to increased muscle tone in the arms of the affected person — NOT for normal muscle firmness, temporary stiffness, or muscle tension without increased tone"
200,Hypotonia (includes open mouth),An abnormally low muscle tone (the amount of tension or resistance to movement in a muscle) (HPO Term: 0001252)
201,"Drooling (includes excessive salivation, sialorrhe)","ONLY use when caregiver describes persistent excessive drooling affecting daily life: 'drools constantly', 'soaks through bibs/shirts', 'excessive saliva', 'drooling all the time' - NOT for normal infant drooling, occasional drooling, or drooling only during teething/illness."
201,Other,"ONLY use when caregiver describes persistent excessive drooling affecting daily life: 'drools constantly', 'soaks through bibs/shirts', 'excessive saliva', 'drooling all the time' - NOT for normal infant drooling, occasional drooling, or drooling only during teething/illness."
202,Abnormal Labs,"ONLY use when caregiver or clinician explicitly states laboratory results are abnormal: 'blood work came back abnormal', 'lab tests showed problems', 'abnormal lab values', follow-up needed for abnormal labs, or when there are specific abnormalities in the level or function of hemoglobin, which is the oxygen-carrying protein in red blood cells (erythrocytes) — NOT for labs ordered but results unknown, normal variations, or single borderline values without clinical significance"
203,Autoimmune,"ONLY use when caregiver or clinician explicitly states autoimmune condition diagnosis: 'autoimmune disease', 'immune system attacks body', 'autoimmune disorder', immunosuppressive treatment, or when there is documented presence of antibodies in the blood circulation directed against the patient's own cells or tissues (a characteristic feature of autoimmune conditions) — NOT for frequent infections, family history of autoimmune conditions, or immune system concerns without autoimmune diagnosis"
204,Dysautonomia,"Only use when dysautonomia is explicitly diagnosed or clearly described (temperature dysregulation, blood pressure instability, heart rate variability). Speculative mentions (seems like autonomic issues) do NOT qualify."
205,Fevers,"ONLY use when caregiver describes recurrent unexplained fevers: 'gets fevers frequently for no reason', 'fever every few weeks', 'recurrent fevers', 'unexplained high temperatures' - NOT for single fever episodes, fevers during illness, or normal immune responses to infections."
206,Infection Risk High,"ONLY use when caregiver describes unusually high susceptibility to infections: 'gets sick constantly', 'catches every bug', 'infections all the time', 'immune system weak', frequent antibiotic use - NOT for normal childhood illnesses, seasonal infections, or occasional sick episodes without pattern of high susceptibility."
207,"Neoplasm (Includes tumors, cancer, benign tumors)","ONLY use when caregiver or clinician explicitly states tumor or cancer diagnosis: 'tumor', 'cancer', 'benign tumor', 'malignant growth', 'neoplasm', oncology referral, surgical removal of tumor - NOT for concerning lumps under evaluation, family history of cancer, or growths without confirmed tumor diagnosis."
208,Sepsis,"ONLY use when caregiver or clinician explicitly states 'sepsis' diagnosis: 'blood infection', 'sepsis', 'blood poisoning', 'septic', ICU treatment for sepsis, IV antibiotics for sepsis, or when there is documentation of life-threatening organ dysfunction caused by a dysregulated host response to infection (which may occur repeatedly) — NOT for severe infections, high fevers, or hospitalization without specific sepsis diagnosis"
209,"Perinatal (prenatal, postnatal, birth)",ONLY use as a domain header for organizing Perinatal conditions - NOT for coding individual patient perinatal symptoms or diagnoses.
210,"Brain abnormality, prenatal","ONLY use when caregiver or clinician explicitly states prenatal brain abnormalities found on imaging: 'brain abnormality seen on ultrasound', 'prenatal MRI showed brain problems', 'fetal brain defect', 'brain abnormality detected before birth' - NOT for postnatal brain findings, developmental concerns, or suspected issues without prenatal imaging confirmation."
211,Choroid plexus cysts,"ONLY use when caregiver or clinician explicitly states choroid plexus cysts found on prenatal imaging: 'choroid plexus cysts on ultrasound', 'CPCs seen prenatally', 'cysts in brain ventricles before birth', or when documentation describes sonographically discrete, small cysts found in the choroid plexus within the lateral cerebral ventricles typically detected between 14 to 24 weeks gestation via transverse plane imaging of the fetal head with bilateral inspection of the choroid plexus — NOT for postnatal brain cysts, other brain abnormalities, cysts found after birth without prenatal detection, or when size of CPCs is the only information provided without confirmation of prenatal detection"
212,"Fetal movement, reduced","ONLY use when caregiver explicitly reports decreased fetal movement during pregnancy: 'baby wasn't moving much', 'reduced fetal movement', 'kicks decreased', 'baby was quiet in womb', fetal monitoring for decreased movement - NOT for normal fetal activity variations, late pregnancy reduced space, or subjective concerns without documented decreased movement."
213,Hydronephrosis,"ONLY use when caregiver or clinician explicitly states hydronephrosis diagnosis: 'kidney swelling', 'enlarged kidney', 'hydronephrosis', 'fluid in kidney', urology referral for hydronephrosis, or specific mention of renal pelvis and calices dilation or distention of the kidney. This includes documented mild pyelectasis (a form of hydronephrosis) showing hypoechoic spherical or elliptical space within the renal pelvis measuring 5-10mm on transverse section imaging. — NOT for UTIs, kidney stones, or general kidney concerns without specific hydronephrosis diagnosis or without explicit documentation of renal pelvis dilation or kidney distention."
214,Premature,"ONLY use when caregiver explicitly states baby was born preterm: 'born early', 'premature', 'preterm', 'born before 37 weeks', NICU stay for prematurity - NOT for small babies born at term, early term births (37-39 weeks), or delivery timing concerns without confirmed preterm birth."
215,Prenatal Renal Abnormalities (Includes renal obstruction),"ONLY use when caregiver or clinician explicitly states prenatal kidney abnormalities: 'kidney problems seen on ultrasound', 'prenatal renal obstruction', 'kidney abnormality before birth', 'fetal kidney defect' - NOT for postnatal kidney issues, UTIs, or kidney concerns without prenatal detection."
