Id,Name,Parent Id,Depth,Type
492,"ondansetron, Zofran",437.0,2,Concept
493,"opioids, oxycodone, fentanyl, morphine, hydrocodone, hydromorphone Percocet, Oxycontin, Lortab, Vicodin, Dilaudid",437.0,2,Concept
494,Oxygen,437.0,2,Concept
495,Pain medication (unspecified),437.0,2,Concept
496,"pantoprazole, Protonix",437.0,2,Concept
497,"polyethylene glycol 3350, PEG, Miralax",437.0,2,Concept
498,"pregabalin, Lyrica",437.0,2,Concept
499,Probiotics,437.0,2,Concept
500,"psyllium, fiber, Metamucil",437.0,2,Concept
501,"quetiapine, Seroquel",437.0,2,Concept
502,"Reflux, stomach, chronic vomitting, dymotility medication (unspecified)",437.0,2,Concept
503,Rescue seizure medications (unspecified),437.0,2,Concept
504,Respiratory medications (unspecified),437.0,2,Concept
505,"risperidone, Risperdal, Risperdal Consta",437.0,2,Concept
506,"rufinamide, Banzel",437.0,2,Concept
507,"scopolamine, Patch, Transdermal, Transderm Scop",437.0,2,Concept
508,Seizure medications (unspecified),437.0,2,Concept
509,"sennosides, bisacodyl, Senna, Dulcolax, stimulant laxatives",437.0,2,Concept
510,"sertraline, Zoloft",437.0,2,Concept
511,Sleep medications (unspecified),437.0,2,Concept
512,Supplements (unspecified),437.0,2,Concept
513,"THC, marijuana",437.0,2,Concept
514,"tramadol, Ultram",437.0,2,Concept
515,"valproic acid, VPA, depakene, Depekote, Divalproex",437.0,2,Concept
516,"venlafaxine, Effexor",437.0,2,Concept
517,"ziprasidone, Geodon",437.0,2,Concept
518,"zonisamide, Zonegran",437.0,2,Concept
519,Side Effects,414.0,1,Domain
520,"Surgical/Medical Interventions, in Hospital, Office, or Clinic",414.0,1,Domain
521,"tympanostomy tube, ear tubes",520.0,2,Concept
522,Casting Feet,520.0,2,Concept
523,Colostomy,520.0,2,Concept
524,Vagal Nerve Stimulator,520.0,2,Concept
525,Therapies Required,414.0,1,Domain
526,Applied Behavior Analysis (ABA),525.0,2,Concept
527,Aqua,525.0,2,Concept
528,Behavioral Therapy,525.0,2,Concept
529,Chest physio,525.0,2,Concept
530,Counseling,525.0,2,Concept
531,Dietician,525.0,2,Concept
532,Hippotherapy (Horse),525.0,2,Concept
533,Intensive Therapies Program (includes NAPA),525.0,2,Concept
534,Phototherapy (includes for jaundice),525.0,2,Concept
535,"Massage, chiropractor",525.0,2,Concept
536,Multisensory Impairment Therapy,525.0,2,Concept
537,Music therapy,525.0,2,Concept
538,Oral sucking training (including feeding training),525.0,2,Concept
539,Occupational therapy (OT),525.0,2,Concept
540,"Play therapy (developmental therapy, neuropsychomotricity, psychomotrocity, psychomotor therapy)",525.0,2,Concept
541,Physical therapy (PT),525.0,2,Concept
542,Speech,525.0,2,Concept
543,Vision,525.0,2,Concept
